market,orders,revenue_czk,identified_orders,identified_revenue_czk,customers,seen_before_orders,seen_before_revenue_czk,aov_czk,seen_before_order_share,seen_before_revenue_share
CZ,362443,564854923.91,361668,563236231.91,47846,313875,499281141.12,1558.47,0.8679,0.8865
SK,33673,62743248.48,33673,62743248.48,5005,28768,55121308.26,1863.31,0.8543,0.8785
